raw,controlled,n,p_raw,p_ctl,name,ycol,n_kept
0.1980620979995309,-0.007621347175015163,512,6.3170861029284386e-06,0.8634120560294228,rho_ctl_r2_G_plus_decoder_controls,r2_G,
-0.1947103837932236,-0.23794664314896832,512,9.098194685717575e-06,5.0534445426788893e-08,rho_ctl_r2_P_plus_decoder_controls,r2_P,
-0.07043584310064663,0.21409107457570867,512,0.11141541735723424,1.0120027367038465e-06,rho_ctl_mse_G_plus_decoder_controls,mse_G,
-0.051418030010873264,0.2519389762934734,512,0.24548663618383867,7.45711343754814e-09,rho_ctl_mse_P_plus_decoder_controls,mse_P,
-0.2342563735047579,-0.07342432136276765,512,8.209874110681048e-08,0.09699843818701209,rho_ctl_delta_adapt_plus_decoder_controls,delta_adapt,
-0.20842864748413173,0.2662369930247994,512,1.9647381496303494e-06,9.337796695306348e-10,rho_ctl_CH_recon,recon,
-0.4147101254067618,-0.28891757075336744,512,1.0617338402216401e-22,2.662591267615456e-11,rho_ctl_CH_cond,cond_g,
-0.5123592002684859,0.005527611629628851,512,1.2987874133207026e-35,0.9007049869818596,rho_ctl_CH_log_knn_radius,log_knn_radius,
0.17034255268656054,0.030557561378846045,486,0.00016115893709925416,0.5015352156527331,drop_worst5_recon_R2G,,486.0
-0.18215973749300424,-0.21784829912718587,486,5.361350313722388e-05,1.2437331283092921e-06,drop_worst5_recon_R2P,,486.0
0.18708588398607393,0.0054109402698492215,486,3.3179911844183787e-05,0.9052911336077853,drop_worst5_cond_R2G,,486.0
-0.21003589014358454,-0.2588218721766567,486,3.0031784661837777e-06,7.034818255655125e-09,drop_worst5_cond_R2P,,486.0
